Food Name,Ingredients,Detected Allergens,Risk Level,Notes,Alternative Suggestions
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Vegetables, Rice, Lentils",High Risk,"⚠️ High Risk: Contains Vegetables, Rice, Lentils. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce","Wheat, Vegetables",High Risk,"⚠️ High Risk: Contains Wheat, Vegetables. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chicken Biryani,"Rice, Chicken, Spices","Rice, Chicken, Spices",High Risk,"⚠️ High Risk: Contains Rice, Chicken, Spices. Avoid if allergic!",
Manchow Soup,"Vegetables, Soy Sauce, Garlic",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Wheat, Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Wheat, Vegetables, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Momos,"Wheat, Vegetables, Chicken",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Rasgulla,"Milk, Sugar",Sugar,Medium Risk,⚠️ Medium Risk: Contains Sugar. Avoid if allergic!,
Chicken Biryani,"Rice, Chicken, Spices",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Chicken Biryani,"Rice, Chicken, Spices",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Rajma Chawal,"Kidney Beans, Rice, Spices","Spices, Kidney Beans",High Risk,"⚠️ High Risk: Contains Spices, Kidney Beans. Avoid if allergic!",
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Chicken, Peanuts, Soy Sauce",High Risk,"⚠️ High Risk: Contains Chicken, Peanuts, Soy Sauce. Avoid if allergic!","Sunflower Butter, Almond Butter"
Rasgulla,"Milk, Sugar","Sugar, Milk",High Risk,"⚠️ High Risk: Contains Sugar, Milk. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Butter Naan,"Wheat, Milk, Butter, Yeast","Milk, Yeast, Butter",High Risk,"⚠️ High Risk: Contains Milk, Yeast, Butter. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Palak Paneer,"Spinach, Paneer, Cream","Cream, Paneer",High Risk,"⚠️ High Risk: Contains Cream, Paneer. Avoid if allergic!",
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Capsicum, Soy Sauce, Paneer",High Risk,"⚠️ High Risk: Contains Capsicum, Soy Sauce, Paneer. Avoid if allergic!",
Peanut Chikki,"Peanuts, Jaggery","Jaggery, Peanuts",High Risk,"⚠️ High Risk: Contains Jaggery, Peanuts. Avoid if allergic!","Sunflower Butter, Almond Butter"
Idli Sambar,"Rice, Lentils, Vegetables",Lentils,Medium Risk,⚠️ Medium Risk: Contains Lentils. Avoid if allergic!,
Manchow Soup,"Vegetables, Soy Sauce, Garlic",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Vegetables, Schezwan Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Schezwan Sauce. Avoid if allergic!",
Rasgulla,"Milk, Sugar","Milk, Sugar",High Risk,"⚠️ High Risk: Contains Milk, Sugar. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Vegetables, Tofu, Sichuan Pepper",High Risk,"⚠️ High Risk: Contains Vegetables, Tofu, Sichuan Pepper. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Soy Sauce, Duck",High Risk,"⚠️ High Risk: Contains Soy Sauce, Duck. Avoid if allergic!",
Rasgulla,"Milk, Sugar",Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Rajma Chawal,"Kidney Beans, Rice, Spices","Rice, Kidney Beans, Spices",High Risk,"⚠️ High Risk: Contains Rice, Kidney Beans, Spices. Avoid if allergic!",
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread","Vegetables, Bread",High Risk,"⚠️ High Risk: Contains Vegetables, Bread. Avoid if allergic!",
Chow Mein,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chow Mein,"Wheat, Vegetables, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Malai Kofta,"Paneer, Cream, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Dhokla,"Chickpea Flour, Yogurt",Yogurt,Medium Risk,⚠️ Medium Risk: Contains Yogurt. Avoid if allergic!,
Paneer Tikka,"Paneer, Yogurt, Spices","Yogurt, Spices",High Risk,"⚠️ High Risk: Contains Yogurt, Spices. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt",Chickpea Flour,Medium Risk,⚠️ Medium Risk: Contains Chickpea Flour. Avoid if allergic!,
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Soy Sauce, Capsicum",High Risk,"⚠️ High Risk: Contains Soy Sauce, Capsicum. Avoid if allergic!",
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Wheat, Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Wheat, Vegetables, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Palak Paneer,"Spinach, Paneer, Cream","Paneer, Spinach",High Risk,"⚠️ High Risk: Contains Paneer, Spinach. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices","Rice, Spices",High Risk,"⚠️ High Risk: Contains Rice, Spices. Avoid if allergic!",
Chicken Biryani,"Rice, Chicken, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Momos,"Wheat, Vegetables, Chicken","Chicken, Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Chicken, Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce. Avoid if allergic!",
Malai Kofta,"Paneer, Cream, Spices","Cream, Paneer, Spices",High Risk,"⚠️ High Risk: Contains Cream, Paneer, Spices. Avoid if allergic!",
Kung Pao Chicken,"Chicken, Peanuts, Soy Sauce","Soy Sauce, Peanuts, Chicken",High Risk,"⚠️ High Risk: Contains Soy Sauce, Peanuts, Chicken. Avoid if allergic!","Sunflower Butter, Almond Butter"
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Palak Paneer,"Spinach, Paneer, Cream","Paneer, Cream",High Risk,"⚠️ High Risk: Contains Paneer, Cream. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Soy Sauce, Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chicken Biryani,"Rice, Chicken, Spices","Chicken, Spices, Rice",High Risk,"⚠️ High Risk: Contains Chicken, Spices, Rice. Avoid if allergic!",
Rasgulla,"Milk, Sugar",Sugar,Medium Risk,⚠️ Medium Risk: Contains Sugar. Avoid if allergic!,
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Manchow Soup,"Vegetables, Soy Sauce, Garlic","Garlic, Vegetables",High Risk,"⚠️ High Risk: Contains Garlic, Vegetables. Avoid if allergic!",
Fish Curry,"Fish, Coconut, Spices","Spices, Fish",High Risk,"⚠️ High Risk: Contains Spices, Fish. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce",Duck,Medium Risk,⚠️ Medium Risk: Contains Duck. Avoid if allergic!,
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Tofu, Vegetables, Beef",High Risk,"⚠️ High Risk: Contains Tofu, Vegetables, Beef. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt",Yogurt,Medium Risk,⚠️ Medium Risk: Contains Yogurt. Avoid if allergic!,
Masala Dosa,"Rice, Lentils, Potatoes","Rice, Potatoes, Lentils",High Risk,"⚠️ High Risk: Contains Rice, Potatoes, Lentils. Avoid if allergic!",
Rasgulla,"Milk, Sugar","Milk, Sugar",High Risk,"⚠️ High Risk: Contains Milk, Sugar. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk"
Peanut Chikki,"Peanuts, Jaggery",Jaggery,Medium Risk,⚠️ Medium Risk: Contains Jaggery. Avoid if allergic!,
Chilli Paneer,"Paneer, Capsicum, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Malai Kofta,"Paneer, Cream, Spices","Paneer, Cream",High Risk,"⚠️ High Risk: Contains Paneer, Cream. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices","Spices, Yogurt, Paneer",High Risk,"⚠️ High Risk: Contains Spices, Yogurt, Paneer. Avoid if allergic!",
Idli Sambar,"Rice, Lentils, Vegetables","Lentils, Rice",High Risk,"⚠️ High Risk: Contains Lentils, Rice. Avoid if allergic!",
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Tofu, Sichuan Pepper",High Risk,"⚠️ High Risk: Contains Tofu, Sichuan Pepper. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Soy Sauce, Hoisin Sauce, Duck",High Risk,"⚠️ High Risk: Contains Soy Sauce, Hoisin Sauce, Duck. Avoid if allergic!",
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Palak Paneer,"Spinach, Paneer, Cream","Cream, Paneer",High Risk,"⚠️ High Risk: Contains Cream, Paneer. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt",Chickpea Flour,Medium Risk,⚠️ Medium Risk: Contains Chickpea Flour. Avoid if allergic!,
Paneer Tikka,"Paneer, Yogurt, Spices","Spices, Paneer",High Risk,"⚠️ High Risk: Contains Spices, Paneer. Avoid if allergic!",
Malai Kofta,"Paneer, Cream, Spices","Cream, Paneer",High Risk,"⚠️ High Risk: Contains Cream, Paneer. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Gobi Manchurian,"Cauliflower, Cornflour, Soy Sauce, Garlic","Cauliflower, Cornflour, Garlic",High Risk,"⚠️ High Risk: Contains Cauliflower, Cornflour, Garlic. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Rajma Chawal,"Kidney Beans, Rice, Spices",Kidney Beans,Medium Risk,⚠️ Medium Risk: Contains Kidney Beans. Avoid if allergic!,
Malai Kofta,"Paneer, Cream, Spices","Paneer, Spices, Cream",High Risk,"⚠️ High Risk: Contains Paneer, Spices, Cream. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt","Yogurt, Chickpea Flour",High Risk,"⚠️ High Risk: Contains Yogurt, Chickpea Flour. Avoid if allergic!",
Pav Bhaji,"Vegetables, Butter, Bread",Bread,Medium Risk,⚠️ Medium Risk: Contains Bread. Avoid if allergic!,
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce",Hoisin Sauce,Medium Risk,⚠️ Medium Risk: Contains Hoisin Sauce. Avoid if allergic!,
Chicken 65,"Chicken, Cornflour, Spices","Chicken, Cornflour",High Risk,"⚠️ High Risk: Contains Chicken, Cornflour. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Wheat, Soy Sauce, Vegetables",High Risk,"⚠️ High Risk: Contains Wheat, Soy Sauce, Vegetables. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Soy Sauce, Paneer",High Risk,"⚠️ High Risk: Contains Soy Sauce, Paneer. Avoid if allergic!",
Rasgulla,"Milk, Sugar",Sugar,Medium Risk,⚠️ Medium Risk: Contains Sugar. Avoid if allergic!,
Fish Curry,"Fish, Coconut, Spices","Spices, Coconut, Fish",High Risk,"⚠️ High Risk: Contains Spices, Coconut, Fish. Avoid if allergic!",
Chicken Biryani,"Rice, Chicken, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Tandoori Chicken,"Chicken, Yogurt, Spices","Yogurt, Chicken",High Risk,"⚠️ High Risk: Contains Yogurt, Chicken. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Wheat",High Risk,"⚠️ High Risk: Contains Soy Sauce, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices","Kidney Beans, Rice",High Risk,"⚠️ High Risk: Contains Kidney Beans, Rice. Avoid if allergic!",
Fried Wontons,"Wheat, Vegetables, Soy Sauce","Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chow Mein,"Wheat, Vegetables, Soy Sauce",Soy Sauce,Medium Risk,⚠️ Medium Risk: Contains Soy Sauce. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Soy Sauce, Wheat",High Risk,"⚠️ High Risk: Contains Soy Sauce, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Aloo Paratha,"Wheat, Potatoes, Spices","Spices, Potatoes",High Risk,"⚠️ High Risk: Contains Spices, Potatoes. Avoid if allergic!",
Malai Kofta,"Paneer, Cream, Spices","Paneer, Cream, Spices",High Risk,"⚠️ High Risk: Contains Paneer, Cream, Spices. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables","Vegetables, Eggs, Shrimp",High Risk,"⚠️ High Risk: Contains Vegetables, Eggs, Shrimp. Avoid if allergic!","Chia Seeds, Flaxseeds"
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper",Sichuan Pepper,Medium Risk,⚠️ Medium Risk: Contains Sichuan Pepper. Avoid if allergic!,
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Vegetables, Schezwan Sauce, Rice",High Risk,"⚠️ High Risk: Contains Vegetables, Schezwan Sauce, Rice. Avoid if allergic!",
Peking Duck,"Duck, Soy Sauce, Hoisin Sauce","Soy Sauce, Duck, Hoisin Sauce",High Risk,"⚠️ High Risk: Contains Soy Sauce, Duck, Hoisin Sauce. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices","Kidney Beans, Spices, Rice",High Risk,"⚠️ High Risk: Contains Kidney Beans, Spices, Rice. Avoid if allergic!",
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Idli Sambar,"Rice, Lentils, Vegetables",Rice,Medium Risk,⚠️ Medium Risk: Contains Rice. Avoid if allergic!,
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Tofu, Sichuan Pepper",High Risk,"⚠️ High Risk: Contains Tofu, Sichuan Pepper. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices","Kidney Beans, Spices",High Risk,"⚠️ High Risk: Contains Kidney Beans, Spices. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices",Kidney Beans,Medium Risk,⚠️ Medium Risk: Contains Kidney Beans. Avoid if allergic!,
Dhokla,"Chickpea Flour, Yogurt","Yogurt, Chickpea Flour",High Risk,"⚠️ High Risk: Contains Yogurt, Chickpea Flour. Avoid if allergic!",
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Peanut Chikki,"Peanuts, Jaggery",Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Tandoori Chicken,"Chicken, Yogurt, Spices","Spices, Chicken, Yogurt",High Risk,"⚠️ High Risk: Contains Spices, Chicken, Yogurt. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Soy Sauce, Sichuan Pepper",High Risk,"⚠️ High Risk: Contains Soy Sauce, Sichuan Pepper. Avoid if allergic!",
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Sichuan Pepper, Soy Sauce",High Risk,"⚠️ High Risk: Contains Sichuan Pepper, Soy Sauce. Avoid if allergic!",
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables","Schezwan Sauce, Rice, Vegetables",High Risk,"⚠️ High Risk: Contains Schezwan Sauce, Rice, Vegetables. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt",Chickpea Flour,Medium Risk,⚠️ Medium Risk: Contains Chickpea Flour. Avoid if allergic!,
Momos,"Wheat, Vegetables, Chicken",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Paneer Tikka,"Paneer, Yogurt, Spices","Yogurt, Paneer, Spices",High Risk,"⚠️ High Risk: Contains Yogurt, Paneer, Spices. Avoid if allergic!",
Fried Wontons,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Momos,"Wheat, Vegetables, Chicken","Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chicken Biryani,"Rice, Chicken, Spices",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Aloo Paratha,"Wheat, Potatoes, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Dhokla,"Chickpea Flour, Yogurt",Chickpea Flour,Medium Risk,⚠️ Medium Risk: Contains Chickpea Flour. Avoid if allergic!,
Paneer Tikka,"Paneer, Yogurt, Spices","Spices, Paneer",High Risk,"⚠️ High Risk: Contains Spices, Paneer. Avoid if allergic!",
Fried Wontons,"Wheat, Vegetables, Soy Sauce",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Aloo Paratha,"Wheat, Potatoes, Spices","Potatoes, Wheat, Spices",High Risk,"⚠️ High Risk: Contains Potatoes, Wheat, Spices. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Wheat, Vegetables",High Risk,"⚠️ High Risk: Contains Wheat, Vegetables. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Aloo Paratha,"Wheat, Potatoes, Spices","Spices, Potatoes, Wheat",High Risk,"⚠️ High Risk: Contains Spices, Potatoes, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Tandoori Chicken,"Chicken, Yogurt, Spices","Yogurt, Spices, Chicken",High Risk,"⚠️ High Risk: Contains Yogurt, Spices, Chicken. Avoid if allergic!",
Palak Paneer,"Spinach, Paneer, Cream",Spinach,Medium Risk,⚠️ Medium Risk: Contains Spinach. Avoid if allergic!,
Mapo Tofu,"Tofu, Soy Sauce, Sichuan Pepper","Tofu, Sichuan Pepper",High Risk,"⚠️ High Risk: Contains Tofu, Sichuan Pepper. Avoid if allergic!",
Rasgulla,"Milk, Sugar",Sugar,Medium Risk,⚠️ Medium Risk: Contains Sugar. Avoid if allergic!,
Spring Rolls,"Wheat, Vegetables, Soy Sauce","Vegetables, Soy Sauce, Wheat",High Risk,"⚠️ High Risk: Contains Vegetables, Soy Sauce, Wheat. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Rajma Chawal,"Kidney Beans, Rice, Spices","Spices, Rice",High Risk,"⚠️ High Risk: Contains Spices, Rice. Avoid if allergic!",
Peanut Chikki,"Peanuts, Jaggery",Jaggery,Medium Risk,⚠️ Medium Risk: Contains Jaggery. Avoid if allergic!,
Veg Hakka Noodles,"Wheat, Vegetables, Soy Sauce","Wheat, Vegetables, Soy Sauce",High Risk,"⚠️ High Risk: Contains Wheat, Vegetables, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Chow Mein,"Wheat, Vegetables, Soy Sauce","Vegetables, Wheat, Soy Sauce",High Risk,"⚠️ High Risk: Contains Vegetables, Wheat, Soy Sauce. Avoid if allergic!","Gluten-Free Flour, Rice Flour"
Paneer Tikka,"Paneer, Yogurt, Spices","Paneer, Yogurt, Spices",High Risk,"⚠️ High Risk: Contains Paneer, Yogurt, Spices. Avoid if allergic!",
Palak Paneer,"Spinach, Paneer, Cream","Cream, Spinach, Paneer",High Risk,"⚠️ High Risk: Contains Cream, Spinach, Paneer. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast",Butter,Medium Risk,⚠️ Medium Risk: Contains Butter. Avoid if allergic!,
Schezwan Fried Rice,"Rice, Schezwan Sauce, Vegetables",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Masala Dosa,"Rice, Lentils, Potatoes","Lentils, Rice, Potatoes",High Risk,"⚠️ High Risk: Contains Lentils, Rice, Potatoes. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Chicken 65,"Chicken, Cornflour, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic","Lentils, Tomatoes",High Risk,"⚠️ High Risk: Contains Lentils, Tomatoes. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices","Yogurt, Paneer",High Risk,"⚠️ High Risk: Contains Yogurt, Paneer. Avoid if allergic!",
Rajma Chawal,"Kidney Beans, Rice, Spices",Spices,Medium Risk,⚠️ Medium Risk: Contains Spices. Avoid if allergic!,
Chicken Biryani,"Rice, Chicken, Spices",Chicken,Medium Risk,⚠️ Medium Risk: Contains Chicken. Avoid if allergic!,
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper","Vegetables, Sichuan Pepper, Beef",High Risk,"⚠️ High Risk: Contains Vegetables, Sichuan Pepper, Beef. Avoid if allergic!",
Sichuan Hot Pot,"Beef, Tofu, Vegetables, Sichuan Pepper",Beef,Medium Risk,⚠️ Medium Risk: Contains Beef. Avoid if allergic!,
Malai Kofta,"Paneer, Cream, Spices",Cream,Medium Risk,⚠️ Medium Risk: Contains Cream. Avoid if allergic!,
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic",Garlic,Medium Risk,⚠️ Medium Risk: Contains Garlic. Avoid if allergic!,
Momos,"Wheat, Vegetables, Chicken",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Manchow Soup,"Vegetables, Soy Sauce, Garlic",Garlic,Medium Risk,⚠️ Medium Risk: Contains Garlic. Avoid if allergic!,
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic","Tomatoes, Garlic",High Risk,"⚠️ High Risk: Contains Tomatoes, Garlic. Avoid if allergic!",
Dhokla,"Chickpea Flour, Yogurt",Yogurt,Medium Risk,⚠️ Medium Risk: Contains Yogurt. Avoid if allergic!,
Momos,"Wheat, Vegetables, Chicken",Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Dhokla,"Chickpea Flour, Yogurt","Yogurt, Chickpea Flour",High Risk,"⚠️ High Risk: Contains Yogurt, Chickpea Flour. Avoid if allergic!",
Paneer Tikka,"Paneer, Yogurt, Spices",Paneer,Medium Risk,⚠️ Medium Risk: Contains Paneer. Avoid if allergic!,
Fish Curry,"Fish, Coconut, Spices","Coconut, Spices, Fish",High Risk,"⚠️ High Risk: Contains Coconut, Spices, Fish. Avoid if allergic!",
Chicken 65,"Chicken, Cornflour, Spices","Spices, Cornflour",High Risk,"⚠️ High Risk: Contains Spices, Cornflour. Avoid if allergic!",
Dal Tadka,"Lentils, Tomatoes, Onions, Garlic","Onions, Garlic",High Risk,"⚠️ High Risk: Contains Onions, Garlic. Avoid if allergic!",
Shrimp Fried Rice,"Rice, Shrimp, Eggs, Vegetables",Vegetables,Medium Risk,⚠️ Medium Risk: Contains Vegetables. Avoid if allergic!,
Butter Naan,"Wheat, Milk, Butter, Yeast","Butter, Milk, Wheat",High Risk,"⚠️ High Risk: Contains Butter, Milk, Wheat. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Dhokla,"Chickpea Flour, Yogurt",Chickpea Flour,Medium Risk,⚠️ Medium Risk: Contains Chickpea Flour. Avoid if allergic!,
Chilli Paneer,"Paneer, Capsicum, Soy Sauce","Paneer, Capsicum, Soy Sauce",High Risk,"⚠️ High Risk: Contains Paneer, Capsicum, Soy Sauce. Avoid if allergic!",
Butter Naan,"Wheat, Milk, Butter, Yeast",Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
