Food Name,Ingredients,Detected Allergens,Risk Level,Notes,Alternative Suggestions
Aloo Paratha,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Kung Pao Chicken,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Sichuan Hot Pot,"Gluten, Soy","Gluten, Soy",High Risk,"⚠️ High Risk: Contains Gluten, Soy. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Coconut Aminos, Tamari Sauce"
Pav Bhaji,"Shellfish, Wheat, Eggs","Shellfish, Wheat, Eggs",High Risk,"⚠️ High Risk: Contains Shellfish, Wheat, Eggs. Avoid if allergic!","Mushrooms, Tofu, Gluten-Free Flour, Rice Flour, Chia Seeds, Flaxseeds"
Momos,"Soy, Shellfish","Soy, Shellfish",High Risk,"⚠️ High Risk: Contains Soy, Shellfish. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Mushrooms, Tofu"
Gobi Manchurian,"Gluten, Peanuts","Gluten, Peanuts",High Risk,"⚠️ High Risk: Contains Gluten, Peanuts. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Sunflower Butter, Almond Butter"
Malai Kofta,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Chilli Paneer,"Gluten, Peanuts","Gluten, Peanuts",High Risk,"⚠️ High Risk: Contains Gluten, Peanuts. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Sunflower Butter, Almond Butter"
Shrimp Fried Rice,"Wheat, Peanuts","Wheat, Peanuts",High Risk,"⚠️ High Risk: Contains Wheat, Peanuts. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Sunflower Butter, Almond Butter"
Aloo Paratha,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Peking Duck,"Gluten, Eggs, Wheat","Gluten, Eggs, Wheat",High Risk,"⚠️ High Risk: Contains Gluten, Eggs, Wheat. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Chia Seeds, Flaxseeds, Gluten-Free Flour, Rice Flour"
Veg Hakka Noodles,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Schezwan Fried Rice,"Shellfish, Gluten","Shellfish, Gluten",High Risk,"⚠️ High Risk: Contains Shellfish, Gluten. Avoid if allergic!","Mushrooms, Tofu, Gluten-Free Wrap, Rice Paper"
Shrimp Fried Rice,"Milk, Peanuts","Milk, Peanuts",High Risk,"⚠️ High Risk: Contains Milk, Peanuts. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Sunflower Butter, Almond Butter"
Dhokla,"Soy, Tree Nuts","Soy, Tree Nuts",High Risk,"⚠️ High Risk: Contains Soy, Tree Nuts. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Seeds (Sunflower, Pumpkin)"
Mapo Tofu,"Soy, Eggs","Soy, Eggs",High Risk,"⚠️ High Risk: Contains Soy, Eggs. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Chia Seeds, Flaxseeds"
Chicken Biryani,"Soy, Tree Nuts","Soy, Tree Nuts",High Risk,"⚠️ High Risk: Contains Soy, Tree Nuts. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Seeds (Sunflower, Pumpkin)"
Manchow Soup,"Peanuts, Gluten, Wheat","Peanuts, Gluten, Wheat",High Risk,"⚠️ High Risk: Contains Peanuts, Gluten, Wheat. Avoid if allergic!","Sunflower Butter, Almond Butter, Gluten-Free Wrap, Rice Paper, Gluten-Free Flour, Rice Flour"
Idli Sambar,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Momos,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Fried Wontons,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Manchow Soup,"Eggs, Peanuts","Eggs, Peanuts",High Risk,"⚠️ High Risk: Contains Eggs, Peanuts. Avoid if allergic!","Chia Seeds, Flaxseeds, Sunflower Butter, Almond Butter"
Pav Bhaji,"Soy, Wheat","Soy, Wheat",High Risk,"⚠️ High Risk: Contains Soy, Wheat. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Gluten-Free Flour, Rice Flour"
Shrimp Fried Rice,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Spring Rolls,"Soy, Peanuts, Shellfish","Soy, Peanuts, Shellfish",High Risk,"⚠️ High Risk: Contains Soy, Peanuts, Shellfish. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Sunflower Butter, Almond Butter, Mushrooms, Tofu"
Chilli Paneer,"Milk, Eggs","Milk, Eggs",High Risk,"⚠️ High Risk: Contains Milk, Eggs. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Chia Seeds, Flaxseeds"
Chicken 65,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Butter Naan,"Milk, Peanuts","Milk, Peanuts",High Risk,"⚠️ High Risk: Contains Milk, Peanuts. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Sunflower Butter, Almond Butter"
Dhokla,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Chicken Biryani,"Peanuts, Wheat, Shellfish","Peanuts, Wheat, Shellfish",High Risk,"⚠️ High Risk: Contains Peanuts, Wheat, Shellfish. Avoid if allergic!","Sunflower Butter, Almond Butter, Gluten-Free Flour, Rice Flour, Mushrooms, Tofu"
Pav Bhaji,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Rasgulla,"Wheat, Eggs, Shellfish","Wheat, Eggs, Shellfish",High Risk,"⚠️ High Risk: Contains Wheat, Eggs, Shellfish. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Chia Seeds, Flaxseeds, Mushrooms, Tofu"
Pav Bhaji,"Shellfish, Milk, Wheat","Shellfish, Milk, Wheat",High Risk,"⚠️ High Risk: Contains Shellfish, Milk, Wheat. Avoid if allergic!","Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Fish Curry,"Soy, Peanuts, Milk","Soy, Peanuts, Milk",High Risk,"⚠️ High Risk: Contains Soy, Peanuts, Milk. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Sunflower Butter, Almond Butter, Almond Milk, Cashew Cream, Soy Milk"
Fish Curry,"Gluten, Eggs, Soy","Gluten, Eggs, Soy",High Risk,"⚠️ High Risk: Contains Gluten, Eggs, Soy. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Chia Seeds, Flaxseeds, Coconut Aminos, Tamari Sauce"
Masala Dosa,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Gobi Manchurian,"Tree Nuts, Eggs","Tree Nuts, Eggs",High Risk,"⚠️ High Risk: Contains Tree Nuts, Eggs. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Chia Seeds, Flaxseeds"
Veg Hakka Noodles,"Tree Nuts, Milk","Tree Nuts, Milk",High Risk,"⚠️ High Risk: Contains Tree Nuts, Milk. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Almond Milk, Cashew Cream, Soy Milk"
Kung Pao Chicken,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Peanut Chikki,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Fish Curry,"Milk, Peanuts","Milk, Peanuts",High Risk,"⚠️ High Risk: Contains Milk, Peanuts. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Sunflower Butter, Almond Butter"
Rajma Chawal,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Masala Dosa,"Wheat, Gluten, Milk","Wheat, Gluten, Milk",High Risk,"⚠️ High Risk: Contains Wheat, Gluten, Milk. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Gluten-Free Wrap, Rice Paper, Almond Milk, Cashew Cream, Soy Milk"
Peanut Chikki,"Milk, Shellfish, Peanuts","Milk, Shellfish, Peanuts",High Risk,"⚠️ High Risk: Contains Milk, Shellfish, Peanuts. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Mushrooms, Tofu, Sunflower Butter, Almond Butter"
Palak Paneer,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Gobi Manchurian,"Gluten, Peanuts","Gluten, Peanuts",High Risk,"⚠️ High Risk: Contains Gluten, Peanuts. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Sunflower Butter, Almond Butter"
Palak Paneer,"Shellfish, Milk, Tree Nuts","Shellfish, Milk, Tree Nuts",High Risk,"⚠️ High Risk: Contains Shellfish, Milk, Tree Nuts. Avoid if allergic!","Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk, Seeds (Sunflower, Pumpkin)"
Shrimp Fried Rice,"Peanuts, Soy","Peanuts, Soy",High Risk,"⚠️ High Risk: Contains Peanuts, Soy. Avoid if allergic!","Sunflower Butter, Almond Butter, Coconut Aminos, Tamari Sauce"
Schezwan Fried Rice,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Fried Wontons,"Eggs, Peanuts, Soy","Eggs, Peanuts, Soy",High Risk,"⚠️ High Risk: Contains Eggs, Peanuts, Soy. Avoid if allergic!","Chia Seeds, Flaxseeds, Sunflower Butter, Almond Butter, Coconut Aminos, Tamari Sauce"
Kung Pao Chicken,"Gluten, Tree Nuts, Shellfish","Gluten, Tree Nuts, Shellfish",High Risk,"⚠️ High Risk: Contains Gluten, Tree Nuts, Shellfish. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Seeds (Sunflower, Pumpkin), Mushrooms, Tofu"
Paneer Tikka,"Peanuts, Milk, Soy","Peanuts, Milk, Soy",High Risk,"⚠️ High Risk: Contains Peanuts, Milk, Soy. Avoid if allergic!","Sunflower Butter, Almond Butter, Almond Milk, Cashew Cream, Soy Milk, Coconut Aminos, Tamari Sauce"
Palak Paneer,"Wheat, Milk","Wheat, Milk",High Risk,"⚠️ High Risk: Contains Wheat, Milk. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Almond Milk, Cashew Cream, Soy Milk"
Spring Rolls,"Eggs, Milk","Eggs, Milk",High Risk,"⚠️ High Risk: Contains Eggs, Milk. Avoid if allergic!","Chia Seeds, Flaxseeds, Almond Milk, Cashew Cream, Soy Milk"
Paneer Tikka,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Veg Hakka Noodles,"Soy, Eggs, Peanuts","Soy, Eggs, Peanuts",High Risk,"⚠️ High Risk: Contains Soy, Eggs, Peanuts. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Chia Seeds, Flaxseeds, Sunflower Butter, Almond Butter"
Fried Wontons,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Chilli Paneer,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Palak Paneer,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Shrimp Fried Rice,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Aloo Paratha,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Fried Wontons,"Tree Nuts, Wheat, Soy","Tree Nuts, Wheat, Soy",High Risk,"⚠️ High Risk: Contains Tree Nuts, Wheat, Soy. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Gluten-Free Flour, Rice Flour, Coconut Aminos, Tamari Sauce"
Rajma Chawal,"Peanuts, Shellfish, Tree Nuts","Peanuts, Shellfish, Tree Nuts",High Risk,"⚠️ High Risk: Contains Peanuts, Shellfish, Tree Nuts. Avoid if allergic!","Sunflower Butter, Almond Butter, Mushrooms, Tofu, Seeds (Sunflower, Pumpkin)"
Spring Rolls,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Dal Tadka,"Gluten, Wheat","Gluten, Wheat",High Risk,"⚠️ High Risk: Contains Gluten, Wheat. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Gluten-Free Flour, Rice Flour"
Chicken Biryani,"Shellfish, Tree Nuts","Shellfish, Tree Nuts",High Risk,"⚠️ High Risk: Contains Shellfish, Tree Nuts. Avoid if allergic!","Mushrooms, Tofu, Seeds (Sunflower, Pumpkin)"
Rajma Chawal,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Fish Curry,"Shellfish, Peanuts, Soy","Shellfish, Peanuts, Soy",High Risk,"⚠️ High Risk: Contains Shellfish, Peanuts, Soy. Avoid if allergic!","Mushrooms, Tofu, Sunflower Butter, Almond Butter, Coconut Aminos, Tamari Sauce"
Chicken Biryani,"Milk, Gluten","Milk, Gluten",High Risk,"⚠️ High Risk: Contains Milk, Gluten. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Wrap, Rice Paper"
Spring Rolls,"Tree Nuts, Soy, Milk","Tree Nuts, Soy, Milk",High Risk,"⚠️ High Risk: Contains Tree Nuts, Soy, Milk. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Coconut Aminos, Tamari Sauce, Almond Milk, Cashew Cream, Soy Milk"
Aloo Paratha,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Chilli Paneer,Milk,Milk,Medium Risk,⚠️ Medium Risk: Contains Milk. Avoid if allergic!,"Almond Milk, Cashew Cream, Soy Milk"
Veg Hakka Noodles,"Milk, Tree Nuts, Gluten","Milk, Tree Nuts, Gluten",High Risk,"⚠️ High Risk: Contains Milk, Tree Nuts, Gluten. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Seeds (Sunflower, Pumpkin), Gluten-Free Wrap, Rice Paper"
Idli Sambar,"Milk, Shellfish, Wheat","Milk, Shellfish, Wheat",High Risk,"⚠️ High Risk: Contains Milk, Shellfish, Wheat. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Mushrooms, Tofu, Gluten-Free Flour, Rice Flour"
Fried Wontons,"Gluten, Wheat, Tree Nuts","Gluten, Wheat, Tree Nuts",High Risk,"⚠️ High Risk: Contains Gluten, Wheat, Tree Nuts. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Gluten-Free Flour, Rice Flour, Seeds (Sunflower, Pumpkin)"
Fried Wontons,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Paneer Tikka,"Tree Nuts, Gluten","Tree Nuts, Gluten",High Risk,"⚠️ High Risk: Contains Tree Nuts, Gluten. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Gluten-Free Wrap, Rice Paper"
Fried Wontons,"Milk, Gluten","Milk, Gluten",High Risk,"⚠️ High Risk: Contains Milk, Gluten. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Wrap, Rice Paper"
Manchow Soup,"Soy, Eggs, Wheat","Soy, Eggs, Wheat",High Risk,"⚠️ High Risk: Contains Soy, Eggs, Wheat. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Chia Seeds, Flaxseeds, Gluten-Free Flour, Rice Flour"
Malai Kofta,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Kung Pao Chicken,"Wheat, Tree Nuts, Shellfish","Wheat, Tree Nuts, Shellfish",High Risk,"⚠️ High Risk: Contains Wheat, Tree Nuts, Shellfish. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Seeds (Sunflower, Pumpkin), Mushrooms, Tofu"
Rasgulla,"Peanuts, Soy","Peanuts, Soy",High Risk,"⚠️ High Risk: Contains Peanuts, Soy. Avoid if allergic!","Sunflower Butter, Almond Butter, Coconut Aminos, Tamari Sauce"
Momos,"Tree Nuts, Eggs","Tree Nuts, Eggs",High Risk,"⚠️ High Risk: Contains Tree Nuts, Eggs. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Chia Seeds, Flaxseeds"
Dhokla,"Gluten, Tree Nuts","Gluten, Tree Nuts",High Risk,"⚠️ High Risk: Contains Gluten, Tree Nuts. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Seeds (Sunflower, Pumpkin)"
Malai Kofta,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Sichuan Hot Pot,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Masala Dosa,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Kung Pao Chicken,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Kung Pao Chicken,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Malai Kofta,"Peanuts, Gluten, Tree Nuts","Peanuts, Gluten, Tree Nuts",High Risk,"⚠️ High Risk: Contains Peanuts, Gluten, Tree Nuts. Avoid if allergic!","Sunflower Butter, Almond Butter, Gluten-Free Wrap, Rice Paper, Seeds (Sunflower, Pumpkin)"
Dal Tadka,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Peking Duck,Eggs,Eggs,Medium Risk,⚠️ Medium Risk: Contains Eggs. Avoid if allergic!,"Chia Seeds, Flaxseeds"
Momos,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Fish Curry,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Gobi Manchurian,"Shellfish, Peanuts, Soy","Shellfish, Peanuts, Soy",High Risk,"⚠️ High Risk: Contains Shellfish, Peanuts, Soy. Avoid if allergic!","Mushrooms, Tofu, Sunflower Butter, Almond Butter, Coconut Aminos, Tamari Sauce"
Manchow Soup,"Soy, Shellfish","Soy, Shellfish",High Risk,"⚠️ High Risk: Contains Soy, Shellfish. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Mushrooms, Tofu"
Malai Kofta,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
Chicken Biryani,"Shellfish, Tree Nuts, Milk","Shellfish, Tree Nuts, Milk",High Risk,"⚠️ High Risk: Contains Shellfish, Tree Nuts, Milk. Avoid if allergic!","Mushrooms, Tofu, Seeds (Sunflower, Pumpkin), Almond Milk, Cashew Cream, Soy Milk"
Momos,"Peanuts, Gluten","Peanuts, Gluten",High Risk,"⚠️ High Risk: Contains Peanuts, Gluten. Avoid if allergic!","Sunflower Butter, Almond Butter, Gluten-Free Wrap, Rice Paper"
Palak Paneer,"Soy, Tree Nuts, Gluten","Soy, Tree Nuts, Gluten",High Risk,"⚠️ High Risk: Contains Soy, Tree Nuts, Gluten. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Seeds (Sunflower, Pumpkin), Gluten-Free Wrap, Rice Paper"
Peanut Chikki,"Tree Nuts, Eggs","Tree Nuts, Eggs",High Risk,"⚠️ High Risk: Contains Tree Nuts, Eggs. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Chia Seeds, Flaxseeds"
Chicken Biryani,"Eggs, Shellfish, Milk","Eggs, Shellfish, Milk",High Risk,"⚠️ High Risk: Contains Eggs, Shellfish, Milk. Avoid if allergic!","Chia Seeds, Flaxseeds, Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk"
Kung Pao Chicken,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Kung Pao Chicken,"Gluten, Soy, Milk","Gluten, Soy, Milk",High Risk,"⚠️ High Risk: Contains Gluten, Soy, Milk. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Coconut Aminos, Tamari Sauce, Almond Milk, Cashew Cream, Soy Milk"
Butter Naan,"Peanuts, Shellfish, Soy","Peanuts, Shellfish, Soy",High Risk,"⚠️ High Risk: Contains Peanuts, Shellfish, Soy. Avoid if allergic!","Sunflower Butter, Almond Butter, Mushrooms, Tofu, Coconut Aminos, Tamari Sauce"
Spring Rolls,"Peanuts, Tree Nuts, Gluten","Peanuts, Tree Nuts, Gluten",High Risk,"⚠️ High Risk: Contains Peanuts, Tree Nuts, Gluten. Avoid if allergic!","Sunflower Butter, Almond Butter, Seeds (Sunflower, Pumpkin), Gluten-Free Wrap, Rice Paper"
Fried Wontons,Tree Nuts,Tree Nuts,Medium Risk,⚠️ Medium Risk: Contains Tree Nuts. Avoid if allergic!,"Seeds (Sunflower, Pumpkin)"
Kung Pao Chicken,"Wheat, Gluten","Wheat, Gluten",High Risk,"⚠️ High Risk: Contains Wheat, Gluten. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Gluten-Free Wrap, Rice Paper"
Veg Hakka Noodles,Wheat,Wheat,Medium Risk,⚠️ Medium Risk: Contains Wheat. Avoid if allergic!,"Gluten-Free Flour, Rice Flour"
Pav Bhaji,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Paneer Tikka,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Spring Rolls,"Wheat, Eggs","Wheat, Eggs",High Risk,"⚠️ High Risk: Contains Wheat, Eggs. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Chia Seeds, Flaxseeds"
Idli Sambar,"Milk, Gluten","Milk, Gluten",High Risk,"⚠️ High Risk: Contains Milk, Gluten. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Wrap, Rice Paper"
Mapo Tofu,"Peanuts, Soy, Wheat","Peanuts, Soy, Wheat",High Risk,"⚠️ High Risk: Contains Peanuts, Soy, Wheat. Avoid if allergic!","Sunflower Butter, Almond Butter, Coconut Aminos, Tamari Sauce, Gluten-Free Flour, Rice Flour"
Shrimp Fried Rice,"Tree Nuts, Peanuts","Tree Nuts, Peanuts",High Risk,"⚠️ High Risk: Contains Tree Nuts, Peanuts. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Sunflower Butter, Almond Butter"
Dal Tadka,"Soy, Gluten","Soy, Gluten",High Risk,"⚠️ High Risk: Contains Soy, Gluten. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Gluten-Free Wrap, Rice Paper"
Aloo Paratha,"Gluten, Peanuts, Wheat","Gluten, Peanuts, Wheat",High Risk,"⚠️ High Risk: Contains Gluten, Peanuts, Wheat. Avoid if allergic!","Gluten-Free Wrap, Rice Paper, Sunflower Butter, Almond Butter, Gluten-Free Flour, Rice Flour"
Butter Naan,"Eggs, Soy","Eggs, Soy",High Risk,"⚠️ High Risk: Contains Eggs, Soy. Avoid if allergic!","Chia Seeds, Flaxseeds, Coconut Aminos, Tamari Sauce"
Rajma Chawal,"Wheat, Eggs","Wheat, Eggs",High Risk,"⚠️ High Risk: Contains Wheat, Eggs. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Chia Seeds, Flaxseeds"
Fried Wontons,"Eggs, Wheat","Eggs, Wheat",High Risk,"⚠️ High Risk: Contains Eggs, Wheat. Avoid if allergic!","Chia Seeds, Flaxseeds, Gluten-Free Flour, Rice Flour"
Idli Sambar,"Shellfish, Wheat","Shellfish, Wheat",High Risk,"⚠️ High Risk: Contains Shellfish, Wheat. Avoid if allergic!","Mushrooms, Tofu, Gluten-Free Flour, Rice Flour"
Shrimp Fried Rice,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Chow Mein,"Shellfish, Milk","Shellfish, Milk",High Risk,"⚠️ High Risk: Contains Shellfish, Milk. Avoid if allergic!","Mushrooms, Tofu, Almond Milk, Cashew Cream, Soy Milk"
Palak Paneer,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Masala Dosa,"Wheat, Gluten","Wheat, Gluten",High Risk,"⚠️ High Risk: Contains Wheat, Gluten. Avoid if allergic!","Gluten-Free Flour, Rice Flour, Gluten-Free Wrap, Rice Paper"
Momos,"Tree Nuts, Milk","Tree Nuts, Milk",High Risk,"⚠️ High Risk: Contains Tree Nuts, Milk. Avoid if allergic!","Seeds (Sunflower, Pumpkin), Almond Milk, Cashew Cream, Soy Milk"
Mapo Tofu,Peanuts,Peanuts,Medium Risk,⚠️ Medium Risk: Contains Peanuts. Avoid if allergic!,"Sunflower Butter, Almond Butter"
Pav Bhaji,Shellfish,Shellfish,Medium Risk,⚠️ Medium Risk: Contains Shellfish. Avoid if allergic!,"Mushrooms, Tofu"
Schezwan Fried Rice,Soy,Soy,Medium Risk,⚠️ Medium Risk: Contains Soy. Avoid if allergic!,"Coconut Aminos, Tamari Sauce"
Peking Duck,"Milk, Tree Nuts, Gluten","Milk, Tree Nuts, Gluten",High Risk,"⚠️ High Risk: Contains Milk, Tree Nuts, Gluten. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Seeds (Sunflower, Pumpkin), Gluten-Free Wrap, Rice Paper"
Manchow Soup,"Soy, Gluten","Soy, Gluten",High Risk,"⚠️ High Risk: Contains Soy, Gluten. Avoid if allergic!","Coconut Aminos, Tamari Sauce, Gluten-Free Wrap, Rice Paper"
Dal Tadka,"Milk, Wheat","Milk, Wheat",High Risk,"⚠️ High Risk: Contains Milk, Wheat. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Flour, Rice Flour"
Tandoori Chicken,"Milk, Gluten","Milk, Gluten",High Risk,"⚠️ High Risk: Contains Milk, Gluten. Avoid if allergic!","Almond Milk, Cashew Cream, Soy Milk, Gluten-Free Wrap, Rice Paper"
Rajma Chawal,Gluten,Gluten,Medium Risk,⚠️ Medium Risk: Contains Gluten. Avoid if allergic!,"Gluten-Free Wrap, Rice Paper"
